"Table 1: Journeys with an out of station interchange (OSI), 26th October - 21st December 2020",,,
"Notes: Volumes have been rounded to the nearest 10, therefore journeys volumes below 5 have been suppressed.",,,
             Incomplete journeys are not included,,,
Start_station,End_station,Volume of Journeys,
Walthamstow Central,Wimbledon," 1,200 ",
Goodmayes,Euston Square," 1,190 ",
Hayes & Harlington,Kings Cross LU (Western)," 1,190 ",
Ilford,Farringdon," 1,180 ",
Goodmayes,Kings Cross LU (Western)," 1,180 ",
Watford Junction,Victoria LU," 1,180 ",
Warren Street,Wimbledon," 1,180 ",
Surbiton,Brixton LU," 1,170 ",
East Croydon,Brixton LU," 1,170 ",
Camden Town,Clapham Junction," 1,170 ",
Camden Town,East Croydon," 1,170 ",
Moorgate,East Croydon," 1,170 ",
Piccadilly Circus,East Croydon," 1,170 ",
Battersea Park,Oxford Circus," 1,170 ",
London Bridge NR,Putney," 1,170 ",
Bond Street,Richmond," 1,170 ",
Barking,South Quay," 1,170 ",
Paddington LU,Clapham Junction," 1,160 ",
Bromley South,Vauxhall LU," 1,160 ",
Oxford Circus,Waltham Cross," 1,160 ",
East Croydon,Wood Green," 1,160 ",
Southall,Elephant & Castle," 1,150 ",
Vauxhall LU,Harrow & Wealdstone," 1,150 ",
Richmond,Ladbroke Grove," 1,150 ",
Brimsdown,Oxford Circus," 1,150 ",
Mortlake,Oxford Circus," 1,150 ",
Brixton LU,Surbiton," 1,150 ",
Blackhorse Road,Clapham Junction," 1,140 ",
Tooting Broadway,Denmark Hill," 1,140 ",
Elephant & Castle,East Croydon," 1,140 ",
Willesden Green,Hampstead Heath," 1,140 ",
Purley,Oxford Circus," 1,140 ",
Surbiton,Stratford," 1,140 ",
Denmark Hill,Tooting Broadway," 1,140 ",
Victoria LU,Watford Junction," 1,140 ",
Piccadilly Circus,Wimbledon," 1,140 ",
Clapham Junction,Wood Green," 1,140 ",
Oxford Circus,Battersea Park," 1,130 ",
Wood Green,Clapham Junction," 1,130 ",
Colliers Wood,Clapham Junction," 1,130 ",
Kings Cross LU (Western),Goodmayes," 1,130 ",
Wandsworth Town,Kings Cross LU (North)," 1,130 ",
Cheshunt,Warren Street," 1,130 ",
London Bridge LU,Watford Junction," 1,130 ",
Stratford,Earlsfield," 1,120 ",
Seven Sisters,Earlsfield," 1,120 ",
Upminster,Embankment," 1,120 ",
East Croydon,Notting Hill Gate," 1,120 ",
West Dulwich,Oxford Circus," 1,120 ",
Earlsfield,Stratford," 1,120 ",
Ealing Broadway,East Croydon," 1,110 ",
Brimsdown,Finsbury Park LU," 1,110 ",
Bond Street,Hither Green," 1,110 ",
Ealing Broadway,Ladbroke Grove," 1,110 ",
Carshalton,Oxford Circus," 1,110 ",
Barking,Victoria LU," 1,110 ",
Oxford Circus,Broxbourne," 1,100 ",
Leicester Square,East Croydon," 1,100 ",
Barnes,Green Park," 1,100 ",
Norbiton,Oxford Circus," 1,100 ",
Farringdon,Seven Kings," 1,100 ",
Barking,Shadwell DLR," 1,100 ",
Oxford Circus,West Dulwich," 1,100 ",
Lewisham NR,Angel," 1,090 ",
Richmond,Bond Street," 1,090 ",
Finsbury Park LU,Brimsdown," 1,090 ",
Baker Street,Clapham Junction," 1,090 ",
Notting Hill Gate,East Croydon," 1,090 ",
Tottenham Court Road,East Croydon," 1,090 ",
Sloane Square,Lewisham NR," 1,090 ",
Green Park,Raynes Park," 1,090 ",
Ladbroke Grove,Richmond," 1,090 ",
Leicester Square,Surbiton," 1,090 ",
Southall,Vauxhall LU," 1,090 ",
Gidea Park,Euston Square," 1,080 ",
Clapham Junction,Monument," 1,080 ",
East Croydon,North Greenwich," 1,080 ",
Kent House,Oxford Circus," 1,080 ",
Oxford Circus,Shenfield," 1,080 ",
Bond Street,Catford Bridge," 1,070 ",
Watford Junction,London Bridge LU," 1,070 ",
Clapham Junction,Paddington LU," 1,070 ",
Tooting Broadway,Peckham Rye," 1,070 ",
Canary Wharf LU (E1),Richmond," 1,070 ",
East Croydon,Tottenham Court Road," 1,070 ",
East Croydon,Tottenham Hale," 1,070 ",
Canning Town,Vauxhall NR," 1,070 ",
Clapham Junction,Colliers Wood," 1,060 ",
Barking,Embankment," 1,060 ",
Clapton,Oxford Circus," 1,060 ",
Southall,Piccadilly Circus," 1,060 ",
Woolwich Arsenal DLR,Shoreditch High Street," 1,060 ",
New Eltham,Bond Street," 1,050 ",
Sloane Square,Bromley South," 1,050 ",
Wembley Park,Hampstead Heath," 1,050 ",
Kings Cross LU (Western),Hayes & Harlington," 1,050 ",
Green Park,Lewisham NR," 1,050 ",
Stratford,Surbiton," 1,050 ",
Canary Wharf LU (E1),Wandsworth Town," 1,050 ",
Lewisham NR,Baker Street," 1,040 ",
Farringdon,Chadwell Heath," 1,040 ",
Warren Street,Cheshunt," 1,040 ",
Oxford Circus,Kingston," 1,040 ",
Bond Street,Orpington," 1,040 ",
Gipsy Hill,Oxford Circus," 1,040 ",
